movie_id,movie_name,year,tags,overview,rating,director,cast
tt9742362,Mallesham,2019,"Telugu, Biography","The life of Padma Shri winner Chintakindi Mallesham, who invented the ASU machine that processes yarn for sarees mechanically, is being recreated in this biopic.",8.2,Raj Rachakonda,"Priyadarshi Pulikonda, Jhansi, Ananya Nagalla, Chakrapani Ananda, Jagadeesh Prathap Bandari"
tt10608668,Vikruthi,2019,"Malayalam, Comedy, Drama","Mistaking the sleeping passenger on his train for a drunk, a young man posts a picture of him online, unaware of his impulsive act's ugly repercussions.",7.4,Emcy Joseph,"Suraj Venjaramoodu, Soubin Shahir, Vincy Aloshious, Sudhi Koppa, Surabhi Lakshmi"
tt8694228,Mikhael,2019,"Malayalam, Action, Thriller","When a vengeful man with criminal ties starts hunting down his family, Dr. Mikhael vows to protect them and annihilate his enemy.",5.0,Haneef Adeni,"Nivin Pauly, Unni Mukundan, Siddique, J.D. Chakravarthi, Navani Devanand"
tt7777196,Thackeray,2019,"Hindi, Political Drama, Biography, Drama","From controversial cartoonist to powerful Mumbai politician, this biopic maps the meteoric rise of far-right Shiv Sena party founder, Bal Thackeray.",5.4,Amol Bhor,"Nawazuddin Siddiqui, Laxman Singh Rajput, Radha Sagar, K.R. Parmeshwar, Amrita Rao"
tt8962472,Kodathi Samaksham Balan Vakeel,2019,"Malayalam, Comedy, Crime, Mystery, Thriller",Balakrishnan is a lawyer who hasn't been able to achieve much in his professional life due to his stammer. His life takes an interesting turn when his brother-in-law entrusts him with a complex case involving a rich businessman.,5.8,B. Unnikrishnan,"Dileep, Mamta Mohandas, Siddique, Bindu Panikkar, Renji Panicker"
tt8751976,Dev,2019,"Tamil, Action, Adventure, Romance","Dev, a youngster from a well-to-do family, is an adventure seeker. When his friend playfully tries to set him up with Meghna, a businesswoman who has no time for love, Dev has to embark on an adventure of another kind.",4.9,Rajath Ravishankar,"Karthi, Rakul Preet Singh, Karthik, Prakash Raj, Ramya Krishnan"
tt9564774,Venky Mama,2019,"Telugu, Drama",A story of nephew and a son which revolves around their emotions and village drama and army based story.,5.5,Bobby Kolli,"Venkatesh Daggubati, Naga Chaitanya Akkineni, Raashi Khanna, Prakash Raj, Kishore Kumar G."
tt8992946,Cargo,2019,"Hindi, Space Sci-Fi, Drama, Fantasy, Sci-Fi","A young female astronaut, who joins a reclusive astronaut aboard a spaceship, struggles with her job as she interacts with mysterious Cargos that appear on the ship.",5.6,Arati Kadav,"Vikrant Massey, Shweta Tripathi, Nandu Madhav, Konkona Sen Sharma, Ritwik Bhowmik"
tt11134856,Chhappad Phaad Ke,2019,"Hindi, Drama","Chappad Phaad Ke is a satirical look at the consumerism and hypocrisy that engulfs us in our daily lives, set in the background of a typical middle class Maharashtrian family. The Gupchup family is headlined by the strict disciplinarian and morally upright Sharad Gupchup, along with his simple wife Vaishali and their two young children - Shubham and Ketaki. Burdened by the load of living up to the idealistic moral values Sharad so vehemently defends, the Gupchups lead a life of quiet desperation. But when the family chances upon a bag full of unclaimed cash, amounting to crores, their lives are plunged into an ethical crisis, on how their worldly desires and aspirations measure up what would be the right thing to do.",6.2,Sameer Joshi,"Jai Bhatia, Siddharth Menon, Ayesha Raza Mishra, Vinay Pathak, Rajat"
tt9077528,NTR: Mahanayakudu,2019,"Telugu, Biography, Drama",A follow up to NTR: Kathanayakudu which was based on N.T. Rama Rao's life and acting career. This movie will focus on his political career.,5.4,Radha Krishna Jagarlamudi,"Nandamuri Balakrishna, Sumanth, Krishna Akkulu, Doctor Ali, Anjali"
tt8282830,Ambili,2019,"Malayalam, Adventure, Comedy, Drama","Guileless like a child and ever so full of life, Ambili is beloved by everyone in his village. The story traces Ambili's outlook towards life and of challenges others surrounding him that face him on an everyday basis.",7.0,Johnpaul George,"Soubin Shahir, Naveen Nazim, Tanvi Ram, Vettukili Prakash, Jaffer Idukki"
tt8326824,Madhuraraja,2019,"Malayalam, Action, Comedy, Drama","When an illegal hooch baron's reign of terror troubles an entire village, the people turn to the only man who can save them: Raja, the flamboyant don with a heart of gold.",5.9,Vysakh,"Mammootty, Jai, Jagapathi Babu, Anusree, Siddique"
